Rank;Simbolo;Nome;Preco;Valor Mercado;Variacao 24h;Volume 24h
1;BTC;Bitcoin;111.424;2.217.671.099.701;-1;45.529.420.517
2;ETH;Ethereum;4.295;518.302.401.875;-0;29.265.568.417
3;XRP;XRP;3;176.008.438.121;-0;6.156.423.203
4;USDT;Tether;1;168.938.692.669;0;95.495.838.914
5;BNB;BNB;876;121.919.495.597;-0;1.014.411.364
6;SOL;Solana;216;117.022.851.066;1;9.031.649.848
7;USDC;USDC;1;72.658.565.458;0;8.696.620.622
8;STETH;Lido Staked Ether;4.290;37.212.541.785;0;74.099.312
9;DOGE;Dogecoin;0;36.336.747.481;1;4.168.366.600
10;TRX;TRON;0;31.646.949.127;1;875.528.548
